augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
25590,38985,0,4347,45666,42636,49462,54413,48192,54010,33133,4269,138562,0,5,3178,12202,45560,41151,49026,52447,2476,14615,109343,0,184,22796,33889,49982,52518,63025,56806,13569,13385,132142,0,200,31973,30693,49010,50301,48632,55520,20699
57692,37908,0,4207,59045,46785,57021,79859,47642,62699,66243,15410,170420,0,15,3958,29795,57009,64801,47964,56082,3895,55570,131668,0,198,32587,36996,59785,60488,59673,55490,38891,64476,144923,0,176,50852,35483,63452,61880,49079,55225,56452
25852,41959,0,4106,69452,40261,58826,57619,45629,58273,65390,3498,209584,0,14,4566,12052,34962,66858,44601,50955,5632,12874,160210,0,187,32310,37725,68730,70072,58548,61325,28305,13478,159893,0,165,58536,32894,77205,50609,47287,57494,56606
27732,42074,0,4085,68556,44057,118995,46710,44791,61548,73919,3557,150684,0,7,3374,32759,48165,54426,44844,64479,3157,17229,148573,0,147,32871,50902,82814,71999,56604,64527,37135,18549,149666,0,161,61902,51103,45791,76538,50329,60419,66252
23765,46049,0,3939,63836,40269,49171,46262,44629,69458,63847,3060,161300,0,10,5091,17664,37066,36191,45504,65844,5360,11837,153248,0,149,32178,40087,63769,65248,54001,64570,30983,11914,162239,0,167,60177,39837,47800,96305,56208,59454,60573
37446,52775,0,3824,66879,43025,86085,48594,42146,61262,67914,12163,154050,0,10,3795,15685,67569,62449,42555,52850,3621,34173,155323,0,157,31126,39751,49830,56921,53501,59931,33104,36478,187055,0,170,60959,40125,54632,51433,51627,62768,62665
22870,56881,0,3875,67319,40222,69553,76564,41019,63448,67198,3137,119668,0,8,4287,21633,75903,70120,42590,48345,5248,12021,151023,0,129,27258,38633,54615,51095,54157,60972,26491,12217,203699,0,152,58514,40707,62101,72669,50353,67857,59346
42142,63946,0,3631,63098,39562,49445,78322,40975,64939,62844,5854,189644,0,5,3631,19385,111054,51181,39415,59391,3478,33381,179525,0,126,29014,37271,65125,74733,53403,62117,31131,39032,225602,0,151,53607,43436,72598,65567,48882,64663,54764
22214,62302,0,3591,64580,42660,49503,63521,40314,66982,63969,2864,111896,0,9,3265,23321,68762,96933,40015,77890,3011,12362,173321,0,144,29819,43531,78535,70757,53019,62554,29645,12909,202380,0,135,52252,41064,58440,101660,47026,60787,53229
44069,66603,0,3595,65096,39696,74386,99730,39089,64160,64427,5179,146859,0,10,4698,16263,51381,80112,40268,81872,5783,36674,192576,0,106,26802,41323,66319,62451,50005,62650,27492,48435,206784,0,143,51557,36797,81842,60363,46062,70724,52518
21313,72735,0,3359,65021,39165,63006,62321,38616,62532,63244,2981,136808,0,4,2982,20125,56844,58282,41734,60940,2139,12239,200835,0,120,26364,41053,62535,57530,47025,67663,26054,12843,205523,0,139,50290,38200,65789,48911,43996,60271,51620
42363,78058,0,3468,65501,38783,70140,48202,38362,64206,64359,6187,158579,0,7,4706,28353,87692,66863,41040,57965,6307,35059,213567,0,121,26676,43715,67470,79824,44577,62040,27981,42552,209266,0,112,50233,41177,63608,48414,43001,64765,52452
20197,75382,0,3260,61919,43544,47409,45665,38603,60763,59478,2883,70976,0,8,3520,19242,47688,61314,39777,61336,2648,11593,196383,0,105,25659,42146,76011,80456,44498,62718,25394,12494,180833,0,129,49107,41538,86137,57941,43198,58894,49274
40196,80847,0,3254,62323,38790,47325,47606,37496,61441,60620,3454,88017,0,5,5036,19395,89058,62744,39082,76372,5594,34910,204273,0,107,25496,36001,59565,62160,40713,65285,26177,42973,172892,0,128,49585,41583,64111,77030,42523,67854,51875
19575,87292,0,3103,64963,38822,67127,67038,38140,74085,62446,2994,87965,0,5,4168,20877,57374,64358,38009,62534,4284,11714,207787,0,104,26919,36982,56215,66323,40423,66079,27603,12034,183058,0,101,48083,47918,48203,47039,41503,66378,48789
39647,94460,0,3083,103274,42593,80488,59804,37818,72411,110424,7413,118747,0,4,4970,29197,78933,112255,38162,87384,6488,33839,219298,0,72,37185,60465,79937,60427,38923,72888,42156,40260,197693,0,144,61448,45206,49748,92978,42092,79305,68564
19303,92991,0,3016,41589,38423,47899,51089,38313,51815,27167,3153,37832,0,3,2410,10888,40064,42644,39030,52875,1797,11120,200555,0,79,14724,32198,48570,50217,38391,54572,10489,11992,178456,0,114,20906,28310,48061,47241,40598,53273,13756
39615,100641,0,2957,59863,38127,65956,76221,38036,57697,64100,4420,45199,0,4,3005,36414,61215,46890,38749,54087,2878,35362,210088,0,95,19722,35846,47891,56262,36695,56485,20285,43679,184726,0,107,32506,31167,86476,47296,40537,60165,37921
18763,110831,0,2844,65910,38298,83455,114261,37792,53320,62365,3051,95092,0,5,3952,19238,54425,73703,41915,68532,4640,10631,205265,0,91,23789,38273,72670,80535,36563,62329,25880,12491,198369,0,91,35535,39060,47575,59688,41015,65570,35121
39424,111260,0,2928,68825,37945,65030,65777,38307,67422,71355,7469,94610,0,7,2995,18040,93957,88376,41708,57816,2687,32652,191624,0,84,20724,36871,59276,61951,36130,65824,20671,43760,198170,0,98,34985,34273,97186,87431,41040,58555,38571
17929,116275,0,2847,70624,37557,87580,70261,38007,69909,70208,3223,34134,0,9,4229,24890,53320,67301,40732,67124,5095,10633,186373,0,84,24105,41524,79674,70656,35444,63737,27060,12579,189913,0,70,30740,34210,59442,66638,40424,56623,32449
39877,122383,0,2742,69486,37737,47910,47351,38863,68352,69782,4274,70752,0,4,2963,11831,66390,59639,46496,62118,2511,35485,202853,0,86,21443,40046,68309,54751,34949,63873,20109,42491,202901,0,98,29811,55197,58525,70448,42581,75121,31096
17857,140996,0,2590,71327,37548,57721,49305,39845,69746,71083,3202,135773,0,5,4490,14171,44708,51442,43242,69451,5629,10468,224853,0,86,24512,37865,64187,63383,35393,61263,26394,11972,209825,0,62,27666,45448,81694,78696,41680,59440,29586
38198,138280,0,2587,70881,37472,86085,69539,38979,56435,71213,6443,52062,0,1,3001,34374,75066,52207,41945,66276,2954,37023,204908,0,73,22891,45139,64181,78878,35638,63352,23088,42425,204677,0,106,25971,34374,47168,52407,40542,62287,27148
17503,150985,0,2516,75683,37719,44700,68779,39876,63449,76746,3182,108474,0,1,2571,23539,60849,60011,42887,63982,2355,9997,212123,0,66,21174,31011,49378,61238,35509,62446,21850,11916,203030,0,62,24670,36750,64351,69622,40823,73285,25938
40411,157386,0,2444,71443,37483,46918,61699,40419,65330,72274,6484,123045,0,4,3718,13785,82281,106883,45149,64223,4814,34336,230161,0,65,21052,44552,83939,67794,35886,62207,22094,43343,210634,0,86,26026,33898,70404,63238,41275,53275,28111
17023,158595,0,2446,72223,37674,92297,88874,40183,62650,73553,3339,38694,0,4,2279,12410,48277,59987,44708,68457,1804,9744,213422,0,61,22658,33589,69007,60199,36891,62642,22404,12216,198463,0,80,21253,26924,57642,86891,40454,67208,22501
42493,165698,0,2322,71331,37005,72473,68744,40629,68072,73044,5822,46054,0,6,3574,20047,69297,67800,44268,63150,3911,32222,220053,0,80,17450,44516,73112,71303,36810,64340,19336,46389,194998,0,66,18308,48646,65108,73452,40462,69902,19387
16545,176425,0,2324,67310,37382,68089,47621,40501,70911,69117,3272,115911,0,1,3268,9871,65925,50493,43327,65550,3343,9112,214250,0,53,17227,41496,63154,56573,37282,64460,15980,11848,187592,0,70,17526,39945,75321,70995,40198,70625,18925
43114,176081,0,2195,67395,37004,70309,54526,40956,59161,68349,5547,156143,0,2,3706,26252,78124,47107,41305,67210,4118,31513,216339,0,58,17537,33941,74742,77674,37703,66120,20963,44153,187145,0,68,17117,37079,60379,48443,39950,61174,18427
15778,173708,0,2165,65500,36917,61138,46177,40031,62582,68054,3270,51651,0,3,3203,24312,90319,80806,41725,81624,2714,9240,204178,0,70,17022,41453,54197,75193,40625,63208,15242,11642,179270,0,63,16872,48163,48278,63503,38843,67050,18117
43242,182047,0,2154,86023,36808,46813,70832,40100,78732,95782,4330,174625,0,1,3878,52914,59982,70718,40351,85156,5669,33705,243870,0,40,18800,46378,65438,78650,39556,79492,23240,43879,174115,0,60,22637,38479,100110,75922,38542,76120,25915
18951,179358,0,1980,32537,36258,44564,48524,40129,52330,22807,3237,43186,0,5,2293,10475,42737,45497,40101,53534,1372,12099,178331,0,34,7825,30019,48933,53283,39924,55174,4642,13755,164963,0,68,9079,27178,47699,50500,38693,52443,7781
71234,184102,0,2032,47815,36199,80449,60168,39298,65017,55941,8676,118098,0,3,3230,8800,48644,77313,39682,55725,2607,52702,179736,0,46,11672,42694,64782,66990,39414,61732,14217,77904,162869,0,58,12775,36801,63144,71373,38328,69027,15425
17983,187883,0,1895,52728,36642,46782,117021,39186,60973,53611,3271,169655,0,2,3975,14627,59882,93130,42854,65630,5153,9867,188264,0,40,13075,34312,64727,51072,41064,62722,11792,12206,165349,0,67,12924,39600,78448,78703,38569,58722,12805
19305,192269,0,1930,49546,36282,47976,48647,38250,65276,54841,2913,102762,0,1,4119,12628,62032,50669,39609,63550,4047,11318,162774,0,40,10796,35658,76972,57054,40457,64029,12934,14219,164119,0,51,11886,45844,54887,88942,38501,61977,13533
14512,197085,0,1808,48622,36172,82238,60049,38677,63540,51555,2565,132633,0,1,4562,8255,61659,88043,38269,75406,4590,7669,185397,0,35,10119,38324,59352,63620,41056,68146,9640,9303,162189,0,40,10419,30168,47696,51436,38937,62779,10511
39945,202283,0,1813,48274,36449,69253,60877,38438,59588,50353,4181,92133,0,3,3513,26288,72021,50350,39075,65687,4067,25486,190669,0,40,10729,41316,72655,68691,43979,63346,12743,37945,164696,0,53,11266,43115,79619,50259,38601,63680,12859
16435,201662,0,1729,47015,36246,45445,45833,38678,73154,50054,2301,55244,0,2,2755,15993,60334,65326,36578,63154,2664,8625,185078,0,39,9160,35152,57555,103015,42335,63067,8377,9970,164388,0,53,12647,34937,75077,84720,38722,75466,13079
12438,199293,0,1745,44264,36535,104508,63419,38065,64764,46846,2408,147166,0,1,2491,18390,60673,84544,36571,60674,2474,5959,184903,0,46,9047,37676,68835,59946,41245,70596,10556,7216,163756,0,50,9949,37449,59227,65224,39511,64214,11564
39924,204764,0,1698,41352,35797,69057,45772,37920,56249,43939,6052,139714,0,3,2408,34425,74632,94505,36067,67875,2473,30356,167198,0,35,7779,40522,52947,63657,41319,63080,7593,40008,153649,0,47,7330,27114,83495,66030,39558,67111,7642
17551,215106,0,1679,36640,35973,45791,61908,37814,71069,39703,2081,163870,0,1,4419,23193,48482,75244,35689,68824,4870,9468,181013,0,23,7479,34800,67620,57215,40147,66902,8588,11295,148794,0,39,7706,36673,65792,75415,38575,62069,8678
50058,226815,0,1648,34233,36401,44030,92628,37830,65821,36249,4509,175944,0,2,2371,29110,53309,49517,35516,58096,2180,33847,181953,0,27,6759,32533,45880,64806,40018,62342,7030,45796,138979,0,42,8160,47399,64775,63971,38833,65231,8601
20397,243147,0,1576,31143,35928,44855,76120,37517,63537,33761,2274,307160,0,4,3684,10127,61438,63435,35511,66272,4167,9727,216762,0,25,6316,36562,46279,64738,40188,72023,7049,12961,149961,0,49,8429,33118,45541,70906,38371,70139,9404
51237,247958,0,1490,29920,35866,61392,78769,37660,65081,31736,3697,149073,0,1,1778,23428,76453,87974,35640,62684,1628,33576,168594,0,33,6296,34737,70105,65726,39163,65487,6836,47464,133218,0,36,8041,36136,54218,50151,38611,61927,8770
15840,254661,0,1500,28168,35432,44139,65823,37353,63932,30526,2218,182586,0,0,3604,20762,73043,78627,35648,75789,3800,9026,165896,0,27,5679,32863,85045,71779,39627,60513,6006,10264,133009,0,43,7403,40120,55643,75105,38638,64360,8447
52966,260767,0,1464,25990,35922,44171,57175,36926,65895,28189,3560,163281,0,1,1408,9573,46989,51606,36178,71253,1564,34153,156950,0,33,5102,38066,64999,57100,39856,73056,5963,48137,129929,0,38,8149,46871,52817,80200,38644,68436,8068
49952,262951,0,1300,34848,36019,73668,44385,37021,78332,39930,5604,255371,0,1,1131,22522,102049,62858,35579,67833,1345,26737,222964,0,25,8142,37954,85247,73366,39802,81077,9460,45558,154494,0,42,8814,32588,64936,58727,38086,74213,10651
22567,267697,0,1356,12602,35849,43703,44090,36169,51356,10556,2125,41874,0,1,387,7928,45224,48658,35460,52591,458,13100,89539,0,29,3211,27471,45309,50053,38638,53854,2633,14853,94212,0,31,4421,26373,43810,47883,37679,49938,3214
15071,273216,0,1354,14698,35894,79394,54299,36811,59538,18626,1705,36671,0,1,316,12869,74533,93149,35565,65617,378,7369,84591,0,28,4136,29557,44927,73600,38785,58432,4588,8950,132393,0,29,6294,39202,104626,47873,37559,69605,7412
45384,280629,0,1268,15746,36093,44743,70644,36763,67779,17197,2573,93190,0,1,236,13404,54839,50933,35191,68733,408,31104,120524,0,13,4637,44165,66005,71482,38827,67822,4965,45383,105259,0,37,8189,42811,72281,65122,37141,66233,7883
16094,282276,0,1202,13720,35674,89789,64838,36582,60368,17228,1608,141581,0,2,243,12637,57075,82037,35890,68610,360,7560,162130,0,23,3684,30319,72524,55008,38685,60601,4465,9567,110616,0,28,8112,29572,44320,74446,37115,62873,9504
51269,274983,0,1230,11068,35936,69472,98069,36328,62543,13324,4118,74285,0,0,234,50448,49492,63041,35503,60537,292,31649,120148,0,21,3841,29873,65933,67409,38485,64606,3952,44728,77228,0,31,6903,38572,69083,114672,36759,63853,6631
20181,274612,0,1195,8996,35945,70210,46643,36348,76898,11202,1776,107291,0,0,222,11155,67131,75570,34338,59991,317,9154,157418,0,30,3556,30449,57173,56076,37925,65826,4175,12044,131670,0,29,5783,39228,43454,60214,36747,72295,6987
56233,266633,0,1140,8271,35656,92598,58260,36015,54026,10382,3553,103125,0,0,201,28362,69006,91205,34592,71472,286,32306,141588,0,18,4344,43922,62205,77952,37749,60942,4512,49242,102669,0,24,4014,37352,84655,59827,36309,55347,3305
15459,251851,0,1131,6315,35716,113864,90350,36496,62106,8816,1542,60953,0,0,212,36266,88384,95120,34802,66533,287,7407,136681,0,13,4935,29902,65029,70332,38204,69458,5955,8869,133082,0,24,5718,33702,63230,46890,36590,67835,6487
53460,213415,0,1065,5294,35505,43894,44219,36369,67923,7104,2081,84220,0,0,224,15905,46488,53227,34063,70214,283,30963,154295,0,18,4074,34847,52875,57510,37453,65860,4149,47500,121704,0,36,6296,33325,44986,68987,35925,63244,6269
15921,234194,0,1099,4850,35988,64033,43692,36126,67665,6812,1429,98147,0,0,211,9139,44741,47670,34302,62355,239,7087,150526,0,16,3958,35229,62317,77609,37827,67774,4351,9165,102882,0,23,5989,38603,53601,63240,35962,58785,7083
56919,206973,0,1044,4037,35959,44378,56948,36230,58937,5688,4735,58365,0,2,157,10684,73117,49851,33169,55745,240,27467,147769,0,15,3727,35015,47990,47463,37994,62526,3839,46550,138267,0,24,4305,29594,68871,91716,35834,72223,4179
15534,210362,0,1038,3327,36475,82175,58888,36463,71116,5247,1389,29501,0,1,203,21466,46256,55015,33459,72931,250,6892,151162,0,23,3865,40170,60971,63145,37572,59179,4076,9199,134707,0,20,4060,36802,57842,56504,35628,65155,4611
54438,207473,0,986,2974,36623,42840,70554,35936,63194,4444,2974,64243,0,0,188,17164,50244,66261,32452,64553,200,28678,173380,0,12,4830,32340,68006,59209,37246,72900,5369,50660,151430,0,23,2869,32914,95663,67967,35717,61068,2879
15267,202142,0,944,2657,36420,42559,71352,35925,64248,4107,1654,53999,0,0,158,21993,88566,52743,32409,66482,214,7374,131436,0,15,4908,37964,74233,77873,37144,61865,5511,9218,187644,0,16,3588,34629,42833,48480,35507,69995,3892
54874,195524,0,914,2372,37285,43402,77612,35991,62763,3931,4334,40698,0,0,178,18248,57497,84687,32416,72287,212,35629,136978,0,11,4915,34152,61276,61265,36795,68326,4646,51188,128615,0,25,3384,29770,57389,93626,34949,69410,3600
51147,303712,0,874,2111,37895,112367,73680,35731,98302,3399,2267,40608,0,1,146,22674,75297,77747,31809,74589,227,23022,139512,0,10,6965,40226,64088,87766,36460,78848,8770,46417,307009,0,15,3807,35077,60706,97511,35330,84020,4192
21994,96439,0,842,1843,36005,41187,45671,36067,51695,3028,1546,18705,0,1,165,7393,42118,48281,31827,50960,189,12437,55842,0,16,2996,28616,42099,48138,36769,52653,1602,14269,63343,0,19,2167,24925,41308,47800,34794,50014,2184
14518,95309,0,892,1727,35373,42400,68980,35764,53584,2853,1150,27882,0,1,181,7866,62252,109223,31633,55974,206,7568,159119,0,7,5164,33041,43297,59748,36496,62404,6600,9320,207801,0,17,2427,31544,58627,45947,34990,59907,2814
85787,237188,0,860,1565,35179,43084,60434,35531,65360,2577,5728,28643,0,2,161,14617,61750,47119,30795,68959,223,47617,144522,0,15,4174,34243,70066,58475,35983,64454,3242,84630,208734,0,25,2161,26144,78909,46139,34851,62712,1991
16182,220081,0,804,1270,35091,57672,45497,35594,61398,2418,1251,29303,0,0,186,23267,80560,97691,31203,57652,245,6736,97129,0,15,6387,31650,71011,55780,36346,63244,7581,10109,148564,0,23,1796,35415,62696,61433,35094,62944,2255
18914,221025,0,782,1261,34447,41041,78096,35436,64925,2264,1335,20144,0,0,178,48345,70227,48219,30341,68655,209,8812,166233,0,4,8101,36737,70721,77954,36014,61326,7975,11890,208121,0,20,1542,27224,73459,45052,34452,64069,1363
19198,273788,0,766,1078,33967,71285,76275,35426,60897,2097,1095,20308,0,0,174,25502,95350,76687,30362,72825,229,6733,155588,0,6,7188,31862,58047,55053,35534,65740,7701,11204,175534,0,22,1910,25938,79558,64661,34375,69079,2313
49219,261692,0,752,1047,33440,98902,65682,35140,67323,1957,2619,14822,0,1,178,19367,43106,45510,30121,61801,219,31066,115584,0,13,6760,34255,61001,73426,35614,63781,6361,45756,214402,0,15,1940,28088,45986,96251,34157,64900,1944
13961,280810,0,752,980,33091,42119,78460,35018,67299,1780,1285,8362,0,1,167,7545,44547,54769,29684,58316,218,6106,140616,0,13,8835,34201,57333,64934,35361,68083,9939,8594,220081,0,19,1520,24768,93294,63044,33737,60225,1775
55326,267170,0,750,930,32846,60750,43570,34754,63198,1594,4568,17302,0,0,150,25417,43579,50654,28912,52989,218,23925,121820,0,9,9210,27799,50368,74946,34911,62455,9132,50180,58767,0,15,1365,25513,45022,81632,33856,63021,1418
14259,297321,0,654,878,32736,42809,43056,34779,61747,1422,1140,17764,0,0,170,21659,73479,74119,28868,59893,220,6075,111595,0,11,6810,37848,70960,61958,34698,61762,6807,8408,208975,0,13,936,26330,57617,60065,33608,69187,1068
61628,96020,0,665,838,32180,112321,44583,34263,63767,1294,2044,16208,0,2,153,7634,65920,66886,28320,75247,239,30666,106021,0,6,7664,29293,69232,47091,34277,67749,7830,57759,204497,0,18,872,27149,60794,49213,33140,61776,860
14518,281201,0,657,800,31666,75404,75679,33970,58276,1295,1222,13772,0,0,178,27043,91761,88229,27958,55377,211,6506,95896,0,13,8044,30051,67129,61611,33891,66024,8333,8271,203996,0,7,900,25191,82512,52407,32757,67287,1066
52249,233751,0,659,805,31010,81393,108241,33825,69038,1209,4360,17955,0,0,194,14815,55141,86886,27203,90508,265,25436,112625,0,10,9328,32875,79591,61906,33130,67380,9726,53316,167596,0,26,849,24357,69357,81578,32361,64247,860
14998,352989,0,610,799,30218,69684,79943,32864,76338,1093,1242,16055,0,0,202,23367,79626,86853,27034,66162,282,7013,33791,0,11,6950,26575,87916,75959,32826,73281,7060,8698,142582,0,9,752,23276,80867,97818,31904,71216,834
56526,350221,0,598,675,30107,44677,62131,32393,72985,1135,2650,18117,0,1,187,13379,48788,57129,26191,71322,233,27594,84979,0,14,5287,31269,48314,63585,32218,70349,5130,54970,122480,0,18,649,24277,61627,76770,31560,71572,792
54565,469805,0,563,664,29501,89331,70642,31632,87334,1130,4171,25396,0,0,173,44733,106683,104041,25404,93110,252,18740,124617,0,3,10740,36503,79180,112591,31596,78951,12950,49737,126277,0,13,514,26555,112700,122700,30786,87278,660
21477,47321,0,537,592,28827,42261,46806,30930,46915,1017,1448,3845,0,0,176,7365,40801,45130,24584,44511,235,9892,15426,0,7,2779,25672,41644,51468,31010,47406,938,12630,19505,0,9,451,21855,42864,50355,30353,48340,585
16213,187911,0,540,613,28119,94206,62686,29946,53443,925,1254,2892,0,0,206,18587,97498,63680,23926,49641,323,5753,45297,0,4,4067,29369,59737,73319,30081,62375,3772,8591,47950,0,20,514,21149,62341,75453,29076,57981,557
50450,135602,0,482,568,27782,91544,69616,29548,68322,951,2736,18643,0,1,208,21364,65379,66177,22927,69913,330,25849,35714,0,6,6027,27719,65320,61149,29082,67925,7125,45452,41898,0,18,447,21031,54510,63172,28627,64420,610
19162,29493,0,525,601,27502,63259,73973,28384,67729,874,1350,13563,0,1,182,6281,43291,76525,22005,71488,326,6964,27630,0,10,6378,28084,47105,50782,27828,57953,7046,9482,34732,0,7,477,21800,68646,60506,27427,63166,659
56571,77024,0,501,586,27597,112180,74514,26955,73246,949,2507,12142,0,0,228,25697,78177,69182,21173,57783,308,26072,22847,0,4,3535,30327,73826,57488,26798,68142,3847,46674,37683,0,8,519,20470,68965,82766,25927,66554,702
29221,31712,0,484,596,27780,70017,68148,25769,66397,1036,1653,2007,0,1,225,12247,57490,47393,19991,64107,369,10225,22591,0,7,2448,34671,74229,75501,25674,66238,2193,13710,28475,0,11,614,20867,62970,65404,24976,64723,806
61041,20474,0,549,702,27757,54435,65081,24865,65598,1070,5802,1496,0,0,227,21356,57483,70850,18749,57487,396,23809,26776,0,0,3597,27164,102834,84644,24173,66836,4676,48382,21321,0,13,659,19331,66662,82846,23896,67001,934
27412,13309,0,679,731,28812,76527,72278,23331,66388,1188,2095,1356,0,1,298,12534,64638,44933,17545,75165,388,9346,42266,0,7,3286,24390,46019,79814,22822,68546,3458,12407,12547,0,13,818,18906,70369,67813,22235,65264,1159
62993,9775,0,1086,919,28926,68429,68758,21541,62833,1235,3147,1272,0,0,352,9300,57135,67633,16453,58762,408,25724,42456,0,14,2829,24575,58031,58832,21456,64327,3523,47673,9869,0,28,1204,18777,77386,61028,20931,65752,1333
33195,7851,0,1601,1077,29516,60286,61413,20278,60566,1244,3229,1410,0,0,369,31825,64301,83619,15109,71458,412,12101,37528,0,28,2505,27139,93399,71708,20014,61092,2431,14930,5786,0,39,1875,19349,65966,82898,19557,59943,1822
40201,6329,0,2241,978,29405,65622,55478,18658,53365,1487,4487,1596,0,1,194,43313,149322,140934,13922,82601,431,18542,23938,0,18,2496,28816,82224,80540,18436,56462,2719,18304,4778,0,38,2464,18482,62382,71207,17738,58204,2576
2165386,13887,0,7733,878,2101831,97091,111985,138267,25503,5328,129676,3361,0,1,45,127550,38801,35744,94789,17927,863,816951,13437,0,94,1701,806424,74525,64722,128020,20957,6901,934904,13716,0,161,2184,913570,74510,50830,127358,20732,5989
